 # of RX ,description,AMITRIPTYLINE,BUPROPION,CITALOPRAM,DESVENLAFAXINE,DOXEPIN,DULOXETINE,ESCITALOPRAM,FLUOXETINE,MIRTAZAPINE,NORTRIPTYLINE,OTHER,PAROXETINE,ROPINIROLE,SERTRALINE,TRAZODONE,VENLAFAXINE
  16 ,Age: 13-19 | Gender: Female,0.01200800534,0.06676386305,0.2838842322,0.2824716267,0.1089552239,0.2120123203,0.1374918843,0.2625168077,0.1077731881,0.04090909091,0.1876975494,0.2529902138,0.1328125,0.298520142,0.04183639767,0.2990056818
  2 ,"Age: 13-19 | Gender: Female | ABDOMINAL PAIN, UNSPECIFIED SITE (dxo:ICD9:78900)",,,,,,,,0.3619047619,,,,,,0.3838862559,,
  2 ,Age: 13-19 | Gender: Female | ABNORMAL WEIGHT GAIN (dxo:ICD9:7831),,0.03571428571,,,,,,,,,,,,0.4198895028,,
  2 ,Age: 13-19 | Gender: Female | ABSENCE OF MENSTRUATION (dxo:ICD9:6260),,,,,,,0.1255230126,,,,,,,0.3865336658,,
  2 ,"Age: 13-19 | Gender: Female | ACUTE SINUSITIS, UNSPECIFIED (dxo:ICD9:4619)",,,0.2983870968,,,,,,,,,,,0.3703703704,,
  1 ,Age: 13-19 | Gender: Female | ACUTE UPPER RESPIRATORY INFECTIONS OF UNSPECIFIED SITE (dxo:ICD9:4659),,,,,,,,0.3287197232,,,,,,,,
  1 ,Age: 13-19 | Gender: Female | ACUTE UPPER RESPIRATORY INFECTIONS OF UNSPECIFIED SITE (dxo:ICD9:4659) | ROUTINE INFANT OR CHILD HEALTH CHECK (dxo:ICD9:V202),,,,,,,,0.3888888889,,,,,,,,
  1 ,"Age: 13-19 | Gender: Female | ADJUSTMENT DISORDER WITH ANXIETY (dxo:ICD9:30924) | INDIVIDUAL PSYCHOTHERAPY, INSIGHT ORIENTED, BEHAVIOR MODIFYING AND/OR SUPPORTIVE, IN AN OFFICE OR OUTPATIENT FACILITY, APPROXIMATELY 45 TO 50 MINUTES  (px:CPT4:90806) | PSYCHIATRIC DIAGNOSTIC INTERVIEW EXAMINATION (px:CPT4:90801)",,,,,,,,,,,,,,0.1333333333,,
  3 ,"Age: 13-19 | Gender: Female | ADJUSTMENT DISORDER WITH DEPRESSED MOOD (dxo:ICD9:3090) | INDIVIDUAL PSYCHOTHERAPY, INSIGHT ORIENTED, BEHAVIOR MODIFYING AND/OR SUPPORTIVE, IN AN OFFICE OR OUTPATIENT FACILITY, APPROXIMATELY 45 TO 50 MINUTES  (px:CPT4:90806) | PSYCHIATRIC DIAGNOSTIC INTERVIEW EXAMINATION (px:CPT4:90801)",,,,,,,0.06944444444,0.1388888889,,,,,,0.1893491124,,
  3 ,Age: 13-19 | Gender: Female | ADJUSTMENT DISORDER WITH MIXED ANXIETY AND DEPRESSED MOOD (dxo:ICD9:30928),,0.02416918429,,,,,0.1317829457,,,,,,,0.3620689655,,
  1 ,"Age: 13-19 | Gender: Female | ADJUSTMENT DISORDER WITH MIXED ANXIETY AND DEPRESSED MOOD (dxo:ICD9:30928) | FAMILY PSYCHOTHERAPY (CONJOINT PSYCHOTHERAPY) (WITH PATIENT PRESENT), 50 MINUTES (px:CPT4:90847) | INDIVIDUAL PSYCHOTHERAPY, INSIGHT ORIENTED, BEHAVIOR MODIFYING AND/OR SUPPORTIVE, IN AN OFFICE OR OUTPATIENT FACILITY, APPROXIMATELY 45 TO 50 MINUTES  (px:CPT4:90806) | PSYCHIATRIC DIAGNOSTIC INTERVIEW EXAMINATION (px:CPT4:90801)",,,,,,,,,,,,,,0.09322033898,,
  3 ,"Age: 13-19 | Gender: Female | ADJUSTMENT DISORDER WITH MIXED ANXIETY AND DEPRESSED MOOD (dxo:ICD9:30928) | INDIVIDUAL PSYCHOTHERAPY, INSIGHT ORIENTED, BEHAVIOR MODIFYING AND/OR SUPPORTIVE, IN AN OFFICE OR OUTPATIENT FACILITY, APPROXIMATELY 45 TO 50 MINUTES  (px:CPT4:90806)",,,,,,,0.07643312102,0.1764705882,,,,,,0.1834862385,,
